Years,Population 
1986,1310000
1987,1331000
1988,1351000
1989,1364621
1990,1304000
1991,1375000
1992,1371000
1993,1358000
1994,1347000
1995,1278000
1996,1276000
1997,1275000
1998,1272000
1999,1272900
2000,1266300
2001,1256900
2002,1293537
2003,1293500
2004,1334400
2005,1304300
2006,1308400	
2007,1315100	
2008,1323000	
2009,1332264	
2010,1349772	
2011,1350100	
2012,1377738	
2013,1396074	
2014,1412346	
2015,1428042	
2016,1444439	
2017,1455904
2018,1468833	
2019,1483119	
2020,1493749	